product_uom_id,model_file,product_id,sku,product_name,uom,category_l1,category_l2,signal_group,use_lag_regressor,lag_mean,ma_blended,ma_yhat_json,backtest_mape,backtest_accuracy
035-052__PIEZA,model_035-052__PIEZA.json,035-052,035-052,HARINA DE TRIGO HOJA DE PLATA 25K,PIEZA,COMESTIBLES,HARINAS,trend_and_seasonal,True,18.5,True,"[16.875, 16.875]",0.5795669724738073,0.4204330275261927
006-081__PIEZA,model_006-081__PIEZA.json,006-081,006-081,ARROZ DIAMANTE 900 GR (10),PIEZA,COMESTIBLES,ARROZ GRANO,high_noise,True,60.25,True,"[60.25, 60.25]",0.5842262177735932,0.4157737822264068
044-027__PIEZA,model_044-027__PIEZA.json,044-027,044-027,MAYONESA MEGA SUPREMA 3.57K (6),PIEZA,COMESTIBLES,MAYONESAS,high_noise,True,17.75,True,"[14.75, 14.75]",0.5855623456507166,0.41443765434928337
020-001__PIEZA,model_020-001__PIEZA.json,020-001,020-001,CHOCOLATE ABUELITA C/6/90G(24) EXAG,PIEZA,COMESTIBLES,CHOCOLATE MESA,mixed_signal,True,36.5,False,"[40.375, 40.375]",0.5872987431188849,0.41270125688111514
052-101__PIEZA,model_052-101__PIEZA.json,052-101,052-101,PASTA YEMINA CONCHA NO.1 200 GR (24),PIEZA,COMESTIBLES,PASTAS,high_noise,True,79.25,False,"[97.5, 97.5]",0.588752330345679,0.411247669654321
037-113__PIEZA,model_037-113__PIEZA.json,037-113,037-113,NECTAR MANGO JUMEX 960ML (12) TETRA,PIEZA,COMESTIBLES,JUGOS/NECTARES Y VERDURAS,trend_and_seasonal,True,112.75,True,"[121.625, 121.625]",0.5895986201511009,0.41040137984889913
037-118__PIEZA,model_037-118__PIEZA.json,037-118,037-118,NECTAR MANGO JUMEX 0 AZUCAR 960ML (6),PIEZA,COMESTIBLES,JUGOS/NECTARES Y VERDURAS,trend_and_seasonal,True,58.5,False,"[58.5, 58.5]",0.5899828855393772,0.41001711446062283
026-009__PIEZA,model_026-009__PIEZA.json,026-009,026-009,AZUCAR MASCABADO METCO 1KG (20),PIEZA,COMESTIBLES,ENDULZANTES,high_noise,True,10.75,True,"[10.75, 10.75]",0.5953975176190867,0.40460248238091334
097-020__PIEZA,model_097-020__PIEZA.json,097-020,097-020,SERVILLETA PETALO C/420 HOJAS (12),PIEZA,PAPEL,SERVILLETA,high_noise,True,30.5,True,"[30.5, 30.5]",0.5982377428219742,0.40176225717802583
028-003__PIEZA,model_028-003__PIEZA.json,028-003,028-003,-LECHE NAN NO.2 320G (12),PIEZA,COMESTIBLES,FORMULAS INFANTILES,high_noise,True,20.25,True,"[20.25, 20.25]",0.5998581658989702,0.40014183410102977
052-095__PIEZA,model_052-095__PIEZA.json,052-095,052-095,PASTA FONTANELLA FIDEO MEDIANO 200GR(20),PIEZA,COMESTIBLES,PASTAS,high_noise,True,223.25,False,"[223.25, 223.25]",0.6001280427939332,0.39987195720606683
069-022__PIEZA,model_069-022__PIEZA.json,069-022,069-022,CHOCOLATE MILKY WAY C/6 PZA. (32),PIEZA,COMESTIBLES,OTROS COMESTIBLES,high_noise,True,2.0,True,"[4.333333333333333, 4.333333333333333]",0.607431912355659,0.39256808764434103
067-047__PIEZA,model_067-047__PIEZA.json,067-047,067-047,CUITLACOCHE SAN MIGUEL 420 GR(12),PIEZA,COMESTIBLES,VEGETALES ENLATADOS,high_noise,True,26.75,False,"[26.75, 26.75]",0.611745273384625,0.38825472661537497
074-006__PIEZA,model_074-006__PIEZA.json,074-006,074-006,CLORALEX 3.75 LTS FAMILIAR (6),PIEZA,LIMPIEZA Y CUIDADO HOGAR,CLOROS,high_noise,True,6.25,True,"[6.25, 6.25]",0.6132021094017195,0.3867978905982805
